,u_windows,g_value,wwr,fixedShadingDepth,heatingSum,heatingMax,lightingSum,temperature>28C
269,0.75,0.7,0.6,0.75,787070291.2820492,3287.8660429010624,512423377.50435764,2672
270,0.75,0.7,0.6,1.0,803182783.5510079,3684.3915705130175,512478819.4314203,2516
271,0.75,0.7,0.6,1.25,812199773.8498256,3017.847530594768,512517298.3093058,2366
272,0.75,0.7,0.6,1.5,851755189.4925499,3702.8740258184935,512460488.51404124,2241
273,0.75,0.8,0.4,0.01,388536876.0377269,2270.429370091515,513310985.5647383,2480
274,0.75,0.8,0.4,0.25,405897536.1975906,2618.7774771424088,513314406.9304676,2449
275,0.75,0.8,0.4,0.5,396622927.73562855,2371.555518256508,513286550.31708133,2346
276,0.75,0.8,0.4,0.75,413435347.824357,2985.1596163884656,513283424.0697824,2220
277,0.75,0.8,0.4,1.0,424520220.0796223,2086.288323814291,513279930.97491294,2105
278,0.75,0.8,0.4,1.25,476806552.4603365,2369.306838278547,513334435.0652984,1999
279,0.75,0.8,0.4,1.5,479694003.9649068,2536.914076227012,513350993.0993142,1911
280,0.75,0.8,0.5,0.01,516027624.5234053,3261.931053299783,512922206.64409125,2853
281,0.75,0.8,0.5,0.25,510106280.0328243,3277.6627124479587,512904172.77407825,2836
282,0.75,0.8,0.5,0.5,526058727.221953,2939.379613469798,512839240.55349064,2745
283,0.75,0.8,0.5,0.75,513198739.9833821,3308.182149508992,512822192.7518412,2596
284,0.75,0.8,0.5,1.0,550236414.1571256,2451.11117784651,512861548.318231,2429
285,0.75,0.8,0.5,1.25,603933580.134289,2209.601032549548,512886804.5209376,2283
286,0.75,0.8,0.5,1.5,643127283.4653764,2855.246997875226,512882734.1303066,2189
287,0.75,0.8,0.6,0.01,611902125.5325508,2814.079461579709,512543810.80555314,3232
288,0.75,0.8,0.6,0.25,619808781.9355067,2918.6456435105247,512582107.45478314,3202
289,0.75,0.8,0.6,0.5,635377691.0193372,2923.129300493011,512588724.82587844,3116
290,0.75,0.8,0.6,0.75,643976706.99352,4184.569921329249,512586278.38907874,2999
291,0.75,0.8,0.6,1.0,688997028.5248262,3325.150457826996,512539740.1527058,2840
